Iteration	Posterior	Likelihood	Prior	distance_scale	extirpation_rate	log10_rate_bg	rate_bg
1940	-30.32	-24.2385	-6.08149	0.01	0.3051803	-2.375838	0.004208837
1950	-30.196	-22.9107	-7.28524	0.01	2.112629	-2.277231	0.005281643
1960	-29.1771	-23.2752	-5.90186	0.01	1.46157	-2.278893	0.005261467
1970	-29.5785	-23.1456	-6.43288	0.01	1.713729	-2.291549	0.005110349
1980	-29.5885	-23.3095	-6.27894	0.01	1.641374	-2.359319	0.00437201
1990	-29.6802	-24.0192	-5.66101	0.01	1.343091	-1.862064	0.0137384
2000	-28.9797	-23.6523	-5.3274	0.01	1.168932	-2.403218	0.003951678
2010	-31.813	-26.5971	-5.21586	0.01	0.4271172	-3.214985	0.0006095573
2020	-28.8555	-23.6905	-5.16496	0.01	1.075894	-2.394811	0.00402892
2030	-29.9714	-23.4066	-6.56483	0.01	1.775515	-2.427901	0.003733351
2040	-29.039	-24.2407	-4.79834	0.01	0.7845791	-1.975816	0.01057265
2050	-28.7446	-23.8724	-4.87227	0.01	0.8680055	-2.425395	0.003754956
2060	-28.8477	-23.9827	-4.86499	0.01	0.8611426	-2.017993	0.009594164
2070	-32.6766	-22.5781	-10.0985	0.01	3.519368	-2.365218	0.004313022
2080	-28.8392	-23.4846	-5.35458	0.01	1.183807	-2.30406	0.004965239
2090	-28.669	-23.5616	-5.1074	0.01	1.0406	-2.281228	0.005233253
2100	-30.0415	-24.9697	-5.07184	0.01	1.01794	-2.827331	0.001488225
2110	-32.4961	-23.9399	-8.55615	0.01	2.724026	-2.676037	0.002108449
2120	-33.5012	-22.0035	-11.4977	0.01	4.30595	-2.257419	0.005528168
2130	-28.8478	-23.9877	-4.86005	0.01	0.5515821	-2.329034	0.004687766
2140	-29.6363	-23.0776	-6.55874	0.01	1.772669	-2.268896	0.005383987
2150	-29.737	-23.0008	-6.73621	0.01	1.855603	-2.005672	0.009870242
2160	-29.4061	-23.1469	-6.25928	0.01	1.632101	-2.031569	0.009298881
2170	-29.0316	-23.332	-5.69963	0.01	1.362381	-2.273781	0.005323768
2180	-28.8001	-23.9603	-4.83987	0.01	0.5651386	-2.289566	0.005133737
2190	-29.9277	-22.9168	-7.01092	0.01	1.983976	-2.238979	0.005767947
2200	-33.6008	-28.749	-4.85183	0.01	0.5568777	-3.71806	0.0001913993
2210	-30.2631	-25.0704	-5.1927	0.01	0.4324175	-2.803881	0.001570792
2220	-30.4782	-25.2667	-5.21155	0.01	1.103437	-1.741829	0.01812055
2230	-29.409	-23.5597	-5.84928	0.01	1.436033	-1.941048	0.01145386
2240	-28.8933	-24.1173	-4.77607	0.01	0.6344699	-2.075184	0.008410382
2250	-29.5821	-24.4885	-5.09364	0.01	0.4577536	-2.603236	0.002493239
2260	-29.9763	-24.4099	-5.56637	0.01	0.3647025	-2.112374	0.007720147
2270	-30.5742	-24.0996	-6.47461	0.01	1.733287	-1.771381	0.01692853
2280	-29.2055	-23.9718	-5.23373	0.01	1.116276	-2.528708	0.002959999
2290	-29.8071	-22.9949	-6.81223	0.01	1.891106	-2.257651	0.005525212
2300	-28.9513	-24.0918	-4.85945	0.01	0.8558008	-2.525498	0.002981965
2310	-29.8354	-24.8065	-5.02896	0.01	0.4773681	-1.964175	0.01085989
2320	-29.8145	-24.7444	-5.07005	0.01	1.01678	-1.822324	0.01505484
2330	-29.2742	-24.4946	-4.77962	0.01	0.6278897	-2.637917	0.002301883
2340	-29.0245	-24.088	-4.93652	0.01	0.9224811	-2.537585	0.002900111
2350	-28.864	-24.0364	-4.82753	0.01	0.5745104	-2.402058	0.003962249
2360	-30.7303	-22.8311	-7.89911	0.01	2.404071	-1.892979	0.01279443
2370	-31.6024	-22.7465	-8.85586	0.01	2.873368	-2.347553	0.004492071
2380	-29.2672	-24.1449	-5.12222	0.01	1.049841	-2.580582	0.002626746
2390	-29.4972	-23.0969	-6.4003	0.01	1.698447	-2.027316	0.009390392
2400	-32.7568	-24.929	-7.82774	0.01	2.369863	-1.602186	0.02499272
